user_id,show_id,rating
1,s7954,Dislike
1,s6255,Dislike
1,s531,Dislike
1,s7638,Dislike
1,s7756,Dislike
1,s330,Dislike
1,s181,Dislike
2,s6642,Dislike
2,s7954,Dislike
2,s8111,Dislike
2,s300,Dislike
2,s7199,Dislike
4,s6942,Dislike
5,s6449,Dislike
6,s7954,Dislike
6,s5332,Dislike
6,s7996,Dislike
6,s7638,Dislike
7,s300,Dislike
7,s6511,Dislike
7,s7531,Dislike
7,s7913,Dislike
7,s5363,Dislike
7,s5530,Like
7,s783,Like
7,s6640,Dislike
9,s7954,Dislike
9,s8111,Dislike
9,s6449,Dislike
9,s300,Dislike
9,s8306,Dislike
9,s25,Dislike
9,s7199,Dislike
10,s5332,Dislike
10,s6255,Dislike
10,s7621,Dislike
10,s7316,Like
10,s4046,Dislike
10,s7638,Dislike
10,s330,Dislike
11,s5332,Dislike
11,s7945,Dislike
11,s7638,Dislike
12,s42,Dislike
12,s7331,Dislike
12,s638,Dislike
12,s268,Dislike
14,s7954,Dislike
14,s8306,Like
14,s5332,Dislike
14,s783,Like
14,s7621,Dislike
14,s7945,Like
14,s47,Like
14,s7638,Dislike
17,s47,Dislike
17,s7638,Dislike
20,s7316,Dislike
21,s2356,Like
21,s6511,Dislike
21,s5332,Dislike
21,s6255,Dislike
21,s7913,Dislike
21,s5363,Dislike
21,s7621,Dislike
21,s7945,Dislike
21,s47,Dislike
21,s7638,Dislike
21,s2165,Dislike
22,s6793,Like
22,s533,Dislike
22,s7621,Like
22,s7945,Dislike
22,s47,Dislike
22,s3186,Dislike
22,s4046,Dislike
22,s7638,Dislike
22,s330,Dislike
24,s7954,Dislike
24,s8111,Dislike
24,s6449,Dislike
24,s300,Dislike
24,s7199,Dislike
24,s5363,Dislike
24,s8527,Dislike
24,s783,Dislike
24,s6799,Like
24,s7862,Like
24,s7621,Dislike
24,s531,Dislike
24,s609,Dislike
24,s47,Dislike
24,s7304,Dislike
24,s7828,Dislike
24,s7638,Dislike
24,s594,Dislike
29,s7638,Like
29,s2165,Dislike
30,s171,Dislike
30,s6255,Dislike
30,s533,Dislike
30,s5004,Dislike
30,s6360,Dislike
30,s47,Dislike
30,s4046,Like
30,s330,Dislike
31,s7954,Dislike
31,s300,Dislike
31,s7199,Dislike
31,s6511,Like
31,s5332,Dislike
31,s6255,Dislike
31,s7621,Like
31,s6115,Dislike
31,s7638,Dislike
35,s6642,Dislike
35,s7199,Dislike
35,s7531,Dislike
35,s6255,Dislike
35,s7913,Dislike
35,s7863,Dislike
35,s7621,Dislike
35,s147,Dislike
35,s7638,Dislike
37,s6255,Dislike
37,s7638,Dislike
37,s330,Dislike
39,s6642,Dislike
39,s7199,Dislike
39,s5332,Dislike
39,s6255,Dislike
40,s7954,Like
40,s7199,Dislike
40,s7621,Dislike
40,s7638,Dislike
41,s7954,Dislike
41,s8111,Dislike
41,s6449,Dislike
41,s1945,Like
41,s3530,Like
41,s3751,Like
41,s300,Dislike
41,s8306,Like
41,s8092,Like
41,s7199,Dislike
41,s5363,Like
41,s7331,Like
42,s8111,Like
42,s7199,Dislike
42,s7913,Dislike
42,s6609,Dislike
42,s585,Like
42,s47,Like
42,s603,Like
42,s959,Dislike
43,s25,Dislike
43,s6115,Dislike
44,s7954,Like
44,s7199,Dislike
44,s6511,Dislike
44,s7531,Dislike
44,s5332,Dislike
44,s6255,Dislike
44,s268,Like
44,s6793,Dislike
44,s6723,Dislike
44,s7621,Like
44,s5004,Dislike
44,s3046,Dislike
44,s7412,Dislike
44,s7638,Dislike
44,s6284,Dislike
45,s268,Dislike
45,s1815,Dislike
45,s6620,Dislike
45,s6,Dislike
48,s783,Dislike
49,s7954,Like
50,s3046,Like
50,s337,Dislike
50,s7638,Dislike
50,s6284,Like
51,s7954,Dislike
51,s300,Dislike
51,s7199,Dislike
51,s2721,Dislike
51,s5332,Dislike
51,s6255,Dislike
51,s7913,Dislike
51,s268,Like
52,s3771,Dislike
53,s7954,Dislike
53,s7199,Dislike
53,s5332,Dislike
53,s6255,Dislike
53,s7913,Dislike
53,s7863,Dislike
53,s5363,Dislike
53,s6019,Dislike
53,s531,Dislike
53,s5004,Dislike
53,s6360,Dislike
53,s7304,Dislike
53,s7412,Dislike
53,s7638,Dislike
53,s2165,Dislike
53,s6063,Dislike
53,s8257,Dislike
53,s330,Dislike
53,s181,Dislike
54,s533,Dislike
54,s6360,Dislike
57,s7638,Dislike
58,s6642,Dislike
58,s5332,Dislike
61,s7954,Like
63,s25,Like
64,s5332,Dislike
64,s6082,Dislike
64,s5004,Dislike
64,s8195,Dislike
64,s7638,Dislike
64,s2165,Dislike
64,s567,Dislike
66,s7945,Dislike
66,s6284,Dislike
68,s7199,Dislike
68,s7945,Dislike
68,s47,Dislike
68,s7638,Dislike
69,s4046,Dislike
69,s7638,Dislike
70,s7954,Dislike
70,s300,Dislike
70,s7199,Dislike
72,s7954,Like
72,s7199,Dislike
72,s6255,Dislike
72,s6793,Dislike
72,s956,Dislike
72,s6362,Dislike
72,s6799,Like
72,s7963,Like
72,s7621,Like
72,s7945,Dislike
72,s7316,Dislike
72,s6213,Like
72,s47,Dislike
72,s819,Dislike
72,s177,Dislike
72,s3046,Dislike
72,s7638,Dislike
73,s7954,Dislike
73,s268,Like
73,s6360,Dislike
73,s3186,Like
73,s7638,Dislike
73,s8257,Dislike
75,s6511,Dislike
75,s2721,Dislike
75,s6362,Dislike
75,s5004,Dislike
76,s7954,Dislike
76,s6255,Dislike
79,s7954,Dislike
79,s7199,Dislike
79,s5332,Dislike
79,s6255,Dislike
79,s7863,Dislike
79,s5363,Dislike
79,s6793,Dislike
79,s956,Dislike
79,s7621,Like
79,s7945,Dislike
79,s7316,Dislike
79,s1255,Dislike
79,s7638,Dislike
80,s7913,Dislike
80,s2165,Dislike
81,s300,Dislike
81,s7199,Dislike
82,s7954,Dislike
82,s4006,Like
82,s7199,Dislike
82,s7331,Like
82,s638,Like
82,s7209,Dislike
82,s6511,Dislike
82,s2721,Dislike
82,s5332,Dislike
82,s8188,Dislike
82,s5363,Dislike
82,s6609,Dislike
82,s6793,Dislike
82,s1815,Dislike
82,s585,Dislike
82,s7621,Dislike
82,s7945,Dislike
82,s7316,Dislike
82,s5004,Like
82,s609,Like
82,s961,Dislike
82,s47,Dislike
82,s819,Dislike
86,s5332,Dislike
86,s6360,Dislike
87,s7954,Dislike
87,s300,Dislike
87,s6255,Dislike
87,s7638,Like
87,s6284,Dislike
88,s7331,Dislike
88,s6511,Dislike
88,s268,Dislike
89,s1306,Dislike
90,s6609,Dislike
91,s300,Dislike
91,s7199,Dislike
92,s7954,Dislike
93,s47,Dislike
94,s7954,Dislike
94,s7199,Dislike
94,s5332,Dislike
