user_id,show_id,rating
marco,s4269,like
marco,s6501,like
marco,s8184,like
marco,s7691,like
marco,s6063,like
marco,s8366,like
marco,s551,like
marco,s348,like
marco,s444,like
marco,s7639,like
marco,s1,like
marco,s3009,like
marco,s8362,like
marco,s6164,like
marco,s318,like
marco,s2101,like
marco,s864,like
marco,s450,like
marco,s7205,like
marco,s1367,like
marco,s7637,like
marco,s10,like
marco,s29,like
marco,s30,like
marco,s43,like
marco,s49,like
marco,s123,like
marco,s116,like
marco,s129,like
marco,s130,like
marco,s137,like
marco,s139,like
marco,s140,like
marco,s145,like
marco,s151,like
marco,s157,like
marco,s8660,like
marco,s6519,like
marco,s615,like
marco,s8289,like
marco,s1354,like
marco,s3931,like
marco,s6723,like
marco,s8218,like
marco,s6273,like
marco,s6343,like
marco,s159,like
marco,s164,like
marco,s167,like
marco,s176,dislike
marco,s180,dislike
marco,s181,dislike
marco,s192,dislike
marco,s232,dislike
marco,s1836,like
marco,s8395,like
marco,s8131,dislike
marco,s7148,dislike
marco,s8495,like
marco,s6623,like
marco,s7733,dislike
marco,s8414,like
marco,s7150,dislike
marco,s1904,like
marco,s172,like
marco,s252,like
marco,s265,like
marco,s268,like
marco,s286,like
marco,s293,like
marco,s315,like
marco,s334,like
marco,s335,dislike
marco,s336,dislike
marco,s338,dislike
marco,s342,dislike
marco,s344,like
marco,s345,like
marco,s350,like
marco,s353,dislike
marco,s354,dislike
marco,s356,dislike
marco,s358,dislike
marco,s361,dislike
marco,s394,dislike
marco,s442,dislike
marco,s446,dislike
marco,s448,dislike
marco,s449,dislike
marco,s451,dislike
marco,s480,dislike
marco,s492,dislike
marco,s493,dislike
marco,s573,dislike
marco,s565,dislike
marco,s576,dislike
marco,s577,dislike
marco,s579,dislike
marco,s584,dislike
marco,s586,like
marco,s587,like
marco,s590,like
