user_id,show_id,rating
7155,s6449,Dislike
2004,s2111,Like
4107,s819,Dislike
3469,s2897,Dislike
6823,s6799,Like
263,s7954,Dislike
7010,s330,Dislike
8987,s5332,Dislike
562,s5332,Like
149,s583,Dislike
6735,s7638,Dislike
5778,s5332,Dislike
4190,s6640,Like
4389,s533,Like
4074,s2897,Dislike
2270,s6563,Like
7283,s181,Dislike
3951,s7660,Dislike
4115,s7996,Dislike
2172,s583,Dislike
8040,s6793,Dislike
1678,s300,Dislike
3664,s7913,Dislike
156,s6212,Dislike
2776,s8188,Dislike
4252,s47,Like
8240,s7863,Dislike
2142,s7954,Dislike
9992,s4952,Dislike
2012,s328,Dislike
1403,s6255,Like
6571,s7954,Like
5283,s5363,Dislike
8128,s6284,Like
3387,s47,Dislike
7776,s7638,Dislike
5283,s330,Dislike
6982,s7621,Dislike
974,s3046,Dislike
4020,s8188,Like
481,s7945,Dislike
461,s7913,Dislike
7010,s5332,Like
9012,s4952,Dislike
1184,s140,Like
2102,s6511,Dislike
3653,s7638,Like
3624,s1588,Dislike
3355,s6360,Dislike
4020,s6793,Dislike
8964,s8306,Dislike
4507,s8189,Like
389,s8257,Dislike
3173,s7199,Dislike
5889,s6129,Like
6735,s1945,Like
6989,s6511,Dislike
2369,s6793,Dislike
1677,s3046,Dislike
4717,s7304,Dislike
1646,s6609,Dislike
6587,s953,Like
2374,s583,Dislike
1819,s2165,Dislike
1850,s531,Like
6416,s7825,Dislike
6234,s783,Dislike
3793,s2897,Dislike
3023,s330,Dislike
2213,s5004,Dislike
6029,s8111,Like
7181,s5332,Dislike
1677,s4766,Dislike
8651,s2590,Dislike
5109,s7621,Dislike
4414,s7954,Dislike
8832,s6793,Dislike
3417,s47,Dislike
7952,s6511,Dislike
5734,s7245,Dislike
5109,s6212,Dislike
8227,s2356,Dislike
9138,s533,Dislike
3125,s585,Dislike
7863,s2897,Like
3951,s2717,Like
2776,s5530,Dislike
3586,s6511,Like
2374,s5717,Dislike
461,s5363,Dislike
487,s6642,Dislike
9378,s2356,Dislike
7302,s6212,Dislike
1085,s7638,Like
2672,s7913,Dislike
6807,s3941,Dislike
3023,s7199,Dislike
9852,s7954,Dislike
8240,s6213,Dislike
5957,s2165,Like
5006,s6793,Dislike
9450,s6360,Dislike
8747,s1815,Like
2451,s6213,Dislike
4305,s1815,Dislike
5773,s8594,Dislike
1109,s7126,Dislike
8833,s6793,Like
816,s959,Dislike
4695,s6438,Dislike
227,s583,Dislike
